key_name,ko_kr
5020051,[5020051] 몇 년 전 일부 지역에서 인기를 끌었던 판타지 소설. 6권이 발매된 후 더 이상 발매하지 않고 있다. 충실한 독자들은 이 장대한 서사시의 마지막 마침표가 찍히기를 지금도 기대하고 있다.
5020052,[5020052] 출처: 제2장 제3막
5020060,[5020060] 병사의 휘장
5020061,"[5020061] 휘장은 병사의 자부심을 상징하며, 곁에 있는 기갑의 잔해는 전하지 못한 이별을 이야기한다. 전장에서 떠나간 영혼들이 영원히 평안하기를."
5020062,[5020062] 출처: 제2장 제4막
5020070,[5020070] 오래된 가이거 계수기
5020071,[5020071] 오래된 가이거 계수기. 예전에 옐로존의 방사능 측정용으로 널리 사용되었다. 성능은 우수하지만 무거워서 지금은 암밴드식 신형 장비로 전면 교체되었다.
5020080,[5020080] 노란색 완장
5020081,[5020081] 레이더 근처의 눈에 띄지 않는 곳에서 발견된 완장. 마크는 아직 선명하게 보인다. MID 데이터베이스에서 본 기억이 있다.
5020101,[5020101] 낡아빠진 붉은 라벨. 바코드를 여러 번 스캔해도 바코드를 제대로 식별되지 않는다.
5020121,"[5020121] 녹이 잔뜩 슨 칼자루. 칼날의 행방이 묘연하다. 형태가 독특하며, 한때 왕실 후손이 사용하던 검으로 보인다."
5020140,[5020140] 장식 모형
5020141,"[5020141] 후방 지원부에서 제작한 정교한 모형으로, 전장 군인의 영웅적 모습을 재현했다. 보급 상자 안에는 비밀리에 개발 중인 최신 탄약이 들어있는 듯하다. 이 탄약을 사용하면 AT-77U도 중기관총에 버금가는 화력을 가질 수 있다고 전해진다."
5030000,[5030000] 해골 모자
5030001,"[5030001] 흰색 하드캡 야구모자. 위에는 쿨한 형광녹색 해골이 프린트되어 있다. 소문에 따르면 이 마크는 신비한 화이트 해커의 표식이라고 전해지는데, 주인은 오래전에 인터넷에서 자취를 감췄고 지금은 전설만 남아있다."
5030091,"[5030091] 놀이공원의 특별한 이벤트에서만 얻을 수 있는 한정판 모델. 유니크한 색상은 물론, 오리지널 버전보다 기동성도 강화되었다. 하지만 안타깝게도 대부분의 한정판은 전시된 상태로 평생을 보내게 된다."
5030100,[5030100] 붕괴결정
5030101,[5030101] 아직 가공되지 않은 붕괴 결정. 한동안 높은 가치의 화폐로 오염 지역에서 유통됐다. “붕괴 결정은 반드시 암거래 상인에게만 사용해야 한다고. 잘못 가져오면 안 돼!”
5030110,[5030110] 망가진 재머
5030111,[5030111] 격리 구역 대문 옆에 떨어져 있던 장치. 엄청난 압력을 받아 부서진 듯 보인다. 아테나의 분석에 따르면 이 기기를 착용하면 일부 특이한 신호를  차단할 수 있다고 한다.
5030161,[5030161] 크기로 볼 때 군용 기계 유닛용으로 제작한 전용 슈퍼칩일 가능성이 높다. 제조 공정을 생각하면 강력한 연산 성능을 가졌을 것으로 보인다. 최대로 작동시키면 기계의 동작 방식을 완전히 바꿀 수도 있다.
5030120,[5030120] 라임 코디얼
5030121,[5030121] 기지의 병사들에게 사랑받는 아시아 수입 음료수. 특수한 레시피를 사용해 알코올의 맛을 재현했지만 실제로는 알코올이 들어있지 않다.
5030151,[5030151] 거의 100년 전에 촬영된 슈퍼문 사진. 어느 시대에나 별이 빛나는 모습을 기록하는 사람이 있다.
5030171,[5030171] 버려진 열차 옆에 떨어진 여성용 장갑. 고급스러운 소재로 만들어진 것을 보아 귀족의 것인 거 같다. 놀랍게도 장갑에서 진한 초연흔이 검출되었다.
5030181,[5030181] 굉장히 귀여운 작은 용 펜던트. 하지만 빨간색이 슈라이크를 떠올리게 해 무섭다. 다행히 이 펜던트는 갑자기 폭발해 피가 사방으로 튀지 않는다는 것.
5040000,[5040000] VR 게임 장비
5040001,[5040001] 전 세계 1만대 한정판 VR 게임장비. 이 기기를 사용하면 소년 소녀들이 거대 로봇을 조종해 지구를 보호하는 이야기를 몰입감 있게 체험할 수 있다.
5040011,[5040011] 겉면이 많이 닳은 낡은 메모장. 표지에는 로고와 ‘망명자’라는 글자가 희미하게 보인다. 안에는 명단에 빼곡하게 쓰여있다. 필기한 사람은 어떠한 이의 이름도 잊고 싶지 않은 듯하다.
5040021,[5040021] 4가지 금속으로 이어 만든 패치워크 팔찌. 모든 부분에 다이아몬드가 박혀있다. 이걸 착용할 수 있는 사람의 신분은 분명 매우 존귀할 것이고 타인과 교류할 때도 설득력이 올라갈 것이다.
5040030,[5040030] 작은 공룡 백팩
5040031,"[5040031] 매우 인기있는 공룡 배낭이라고 하는데, 옐로존의 현상금 사냥꾼 소대에서 같은 걸 본 적이 있다. 이건 그녀가 잃어버린 걸까?"
5040041,[5040041] 3개의 쟁반이 있는 기이한 저울. 오랫동안 연구했지만 사용처를 알 수 없다. 아마도 예전에 고대 의식에 사용된 아이템일 수도 있다.
5040050,[5040050] 정교한 자물쇠 실린더
5040051,"[5040051] 터널 입구서 주운 자물쇠 실린더. 자세히 살펴보니 열쇠 구멍은 사실 가짜였고, 실제 열쇠 구멍은 외부 링에 있는 5개의 작은 구멍이었다. 자물쇠를 열려면 둥근 열쇠 5개를 동시에 삽입해야 하는 듯하다."
5040061,[5040061] 아테나의 경량형 모델과는 확연히 다르게 생긴 튼튼한 전술 마스크. 군납 모델은 아닌 것 같다.
5040071,[5040071] 공개된 기업제 스턴건. 잠행 작전 중 표적을 무력화하는 데 매우 적합하다. 요원에게 필수 무기이지만 아쉽게도 파손되었다.
5040081,[5040081] 천문학 상징이 새겨진 쿼츠 시계. 정확도가 높아 난민차의 시간표를 확인하기에 좋다. 그 외에도 다이얼의 링을 올바른 위치로 회전시키면 포인터를 통해 5개 행성의 위치를 판단할 수 있다.
5040090,[5040090] 플래시 부비트랩
5040091,[5040091] 구형 플래시 부비트랩. 간단한 개조로 무수히 많은 사람들의 악몽이 되었다. 뜻밖인 건 지금 전쟁에서는 더 이상 유사한 아이템을 사용하는 사람이 없다는 것이다.
5040101,[5040101] 원래 형태를 알아볼 수 없을 정도로 녹슨 검. 이 검과 세트인 다른 검은 이미 사라졌다. 아마 이 검들도 예전 주인 손에서 신화 속의 전투말처럼 용맹하게 달렸을지도.
5040141,[5040141] <무장기병>의 설정 주석이 달린 버전. 책에는 온갖 수필. 감상문. 하루의 일기. 누군가에 대한 불만. 심지어는 메카 설계도까지 쓰여 있는데 모든 게 갑자기 한 페이지에서 멈추었다.
5040151,[5040151] 훈련용 인형 표적. 파워가 느껴지는 모양으로 제작되었고 망토를 두른 영웅처럼 보인다.
5040161,[5040161] 신비한 금속 목걸이. 전체적인 모양이 앤틱하고 심플하며. 에메랄드빛 수정안에는 무한한 공간이 상상력을 자극한다.
5040170,[5040170] 낡은 흰 코트
5040171,[5040171] 소매가 한쪽밖에 없는 낡은 흰 코트. 소매 끝에는 이사도라라는 아름다운 이름이 새겨져 있다. 코트의 주인도 백조처럼 우아한 사람이었을까요?
5040180,[5040180] 원격 조작 컨트롤러
5040181,[5040181] 어떤 장치의 원격 조작 컨트롤러 같다. 새로운 단파 신호 기술을 사용해 통신 성공률이 99%에 달하지만 여전히 간헐적으로 발생하는 신호 수신 문제가 있다. 누르는 순간 구석에서 모터 소리가 들려온다.
5040190,[5040190] 이색적인 꽃무릇
5040191,[5040191] 붉은색과 흰색이 번갈아 보이는 꽃무릇. 죽은 사람이 부활하는 곳에 피어난다고 한다. 꽃말은 선택과 희생 그리고 가슴 아픈 추억이다.
5040201,[5040201] 심각하게 파손된 흰 마스크. 정교한 문양에서 종교적 분위기가 물씬 난다. 이유는 모르겠지만 우물가에 버려졌다.
5040231,[5040231] 감옥에서 주운 전기 구속링. 제어기로 원격 컨트롤이 가능하다. 작동 후 미량의 전류가 흘러나와 특정 신경을 자극해 전신에 무력감을 준다. 마치 모든 힘이 다 빠져나가는 듯하다.
5040241,[5040241] STALKER 회사가 제작한 전술 손전등. 품질이 뛰어나다. 솔직히 말해 하나의 STALKER 손전등이면 ‘세계 종말’까지 사용이 가능하다.
5040251,[5040251] 거석 안에 숨겨져 있던 로봇청소기. 음성 모듈을 탑재하지 않아 감정을 표현하는 일부 의성어만 낼 수 있다. 만약 이 ‘언어’를 능숙하게 익힐 수 있다면 원활한 소통이 가능하다.
5040261,[5040261] 환영 같은 푸른 나비. 리겔의 가상 화면에서 조우한 이후 가끔 현실에서도 그녀를 볼 수 있게 되었다.
5040271,[5040271] 카페 문에 달린 오래된 풍령. 풍령에는 구름과 각설탕 장식이 있다. 손님이 올 때마다 풍령은 충실하게 울린다.
5040280,[5040280] 황금 토스터
5040281,[5040281] 이미 광택을 잃은 황금 토스터. 토스터의 유지보수는 오래된 기술이다. 과거에는 이 기술을 전문적으로 가르치는 학원도 있었다.
5040291,[5040291] 옆에 균열이 생긴 하얀 커피잔. 측면에는 42Lab이라는 문구가 쓰여있다. 컵의 주인도 야심한 밤에 커피 한잔을 건네며 설탕을 듬뿍 넣어주길 원한 건 아닐까?
5040301,[5040301] 암실에서 층층이 보관된 고대병서. 책의 종이는 이미 색이 바랬고. 안에는 여러 전술 및 사용 사례가 기록되어 있다. 마음으로 익힐 수 있다면 분명 훌륭한 사령관이 될 것이다.
5040311,[5040311] 탱크 수리 전용으로 설계된 거대 렌치. 수리 효율을 크게 향상시킨다. 표면으로 이미 심각하게 마모되어 특정 글씨를 식별할 수 없다.
5040321,[5040321] 거대한 검정 케이블. 절단면이 깔끔하다. 작동 중인 기계를 어찌할 수 없을 때. 전원을 차단하는 게 가장 좋은 방법이다.
5040330,[5040330] 열차 승차권
5040331,[5040331] 오래전 만료된 주간 열차 승차권. 목적지는 오데사-우사토베역이다. 열차는 진즉 출발했고 기차역도 이미 버려졌다. 그럼 표의 주인은 어디 있는 걸까?
5040341,[5040341] 중앙 오페라단의 티켓. 게다가 귀빈석이다. 전성기 때 오페라단이 하는 공연은 모두 매진이었다. 지금도 화려한 입장권에서 그때의 성황을 엿볼 수 있다.
5040350,[5040350] 임파서블 보틀
5050011,[5050011] 꽃다발 옆에서 발견한 정교한 커프스 단추. 누군가를 그리워하며 만든 기념품인 거 같다. 묘비의 먼저를 닦으니 이름조차 적혀 있지 않다.
5050021,[5050021] ‘1차 정진시 보조 배터리를 사용해 송전망에 전력을 공급할 수 있다. 전력이 충분할수록 데미지를 막아낼 확률이 높다.’ —— <전력 방어 네트워크>
5050030,[5050030] 한정판 러프베리 체스
5050031,[5050031] 공항 특별 이벤트를 통해서만 얻을 수 있는 한정판 러프베리 체스. 디자이너의 사인과 게임 출시 이후 현재까지의 모든 보드판이 부속으로 들어있다. 경매시장에서도 쉽게 못보는 귀한 컬렉션이다.
509000002,[509000002] 출처:2092R-1첫머리
509000011,[509000011] 종군기자가 보물단지 모시듯 하는 중요한 파트너. 모든 소중한 영상에는 촬영자의 용기가 담겨 있다.
509000012,[509000012] 출처:2092R-1제1장
509000022,[509000022] 출처:2092R-1제2장
509000031,[509000031] 금이 잔뜩 간 돌 상자. 심한 충격을 받은 것으로 보인다. 상자에는 버튼이나 스위치가 보이지 않고. 아무리 만지작거려도 열 수가 없다.
509000032,[509000032] 출처:2092R-1제3장
509000041,[509000041] 희귀하고 아름다운 광석. 흥미를 느낀 광부가 위에 알파벳 같은 문자를 새겨넣었다. 먼 곳의 누군가를 그리워하는 듯하다.
509000042,[509000042] 출처:2092R-1제4장
509000051,[509000051] 분홍색과 보라색을 띈 태블릿PC. 이미 망가진 거 같다. 충전 후 화면서 괴이한 흰색 스마일이 나타나고 아무리 클릭해도 반응이 없다.
509000052,[509000052] 출처:2092R-1제5장
509000062,[509000062] 출처:2092R-1제6장
509000071,[509000071] 높은 수율의 두뇌발달 장난감. 테스트 결과 두뇌 계발에 매우 긍정적인 효과가 있다. 출시된 후 수년이 지났지만 제조자는 여전히 인터넷으로 수수께끼를 보내고 있다. 그 때문에 군대에서는 시간 보내기 좋은 도구이다.
509000072,[509000072] 출처:2092R-1제7장
509000081,[509000081] 버려진 부품 아래 깔린 모형 장식물. 옆에 있는 파손된 탈것과 굉장히 흡사하다. 하지만 자료를 찾아보니 현실에는 없는 탱크 유형이다.
509000082,[509000082] 출처:2092R-1제8장
509000091,[509000091] 깃발 게양대 근처에서 주운 백기. 루련 기지의 환경과 맞지 않는다. 깃발의 문양이 매우 정교하다. 예전에는 고귀함과 순결함을 상징이었다.
509000092,[509000092] 출처:2092R-1제9장
509000101,[509000101] 누군가가 벽 틈에 숨겨둔 구식 소총. 총알은 없고. 제퓨티가 가진 모신나강과 비교하면 더 오래된 모델인 듯하다.
509000102,[509000102] 출처:2092R-1제10장
509000111,[509000111] 기한 만료된 인터뷰 허가증. 이름은 더 이상 식별이 안 되지만. 사진은 매우 선명하다. 이 팻말이 있어야 진상을 밝혀낼 가능성을 얻게 된다.
509000112,[509000112] 출처:2092R-1 마지막 장
509020001,[509020001] 파손된 이상한 링 옆에서 주운 장식품. SF영화에서나 나올법한 아이템이다. 어떤 종교를 상징하는 듯하다. 어쩌면 누군가가 이 세상에 남긴 흔적일지도.
509020002,[509020002] 출처:2092R-2첫머리
509020011,[509020011] 정교한 등갓. 안의 전구는 이미 사라졌지만 어두운 환경에서 하늘색의 미약한 불빛이 반짝인다. 등갓의 문양이 신비로운 부호를 만들어 낸다. 유리를 투과해 중첩된 공간이 보이는 듯하다.
509020012,[509020012] 출처:2092R-2제1장
509020021,[509020021] 금속으로 만든 숟가락. 인체공학적 설계로. 들고만 있어도 식욕이 크게 증가하고. 배부르게 먹고 싶어진다.
509020022,[509020022] 출처:2092R-2제2장
509020030,[509020030] 골든 애플
509020032,[509020032] 출처:2092R-2제3장
509020042,[509020042] 출처:2092R-2제4장
509020051,[509020051] 동굴 안에 보관한 부러진 검. 특수한 금속으로 제작된 거 같다. 따뜻한 방 안에 있지만 검체는 항상 차갑다.
509020052,[509020052] 출처:2092R-2제5장
509020060,[509020060] 붕괴 폭탄
509020061,[509020061] 전쟁에 사용되었던 붕괴 폭탄. 주위의 탄 흔적과 시체가 살상력을 증명해 준다. 지금까지도 루련 군인이 질겁하는 무기이다.
509020062,[509020062] 출처:2092R-2제6장
509020071,[509020071] 헤비형 장갑차 옆에서 주운 볼트. 너무 여러 번 분리되어 매끈해졌다. 열심히 일하는 엔지니어에겐 모든 볼트가 대체 불가한 전우이다.
509020072,[509020072] 출처:2092R-2제7장
509020081,"[509020081] 푸른 하늘, 하얀 구름, 그리고 행복한 미소. 수많은 사람들이 과거에 누린, 다시 돌아갈 수 없는 일상이다."
509020082,[509020082] 출처:2092R-2제8장
509020091,[509020091] 기지 지휘실 안에서 발견한 녹음펜. 전원 스위치를 누르면 전량 부족이 뜬다. 적절한 시기가 오면 비밀이 대중에게 공개될 것이다.
509020092,[509020092] 출처:2092R-2제9장
509020100,[509020100] 가위바위보 게임의 비밀
509020102,[509020102] 출처:2092R-2제10장
509020111,[509020111] 간이 심박수 측정기이다. 화면에는 마지막 모니터링 기록이 남겨져 있다. 도저히 말할 수 없을 때 심박수는 가장 솔직한 표현이다.
509020112,[509020112] 출처:2092R-2 마지막 장
509090012,[509090012] 출처:2092R - 버려진 마을
5060011,[5060011] 검붉은 깃털. 일부 지역에서는 불길함의 상징이다. 전설에 따르면 이런 깃털로 무한한 힘을 얻을 수 있다고 한다. 하지만 그 대가는 참혹하다.
5060020,[5060020] 샌드 박스 미니어처
5060021,[5060021] 루련 지휘부가 모의 전쟁에 사용하는 샌드 보드 바둑알. 육각형의 바둑알 디자인은 모의 전략에 현실감을 더 불어넣어 준다. 정교하고 아름다운 모양 때문에 많은 사령관의 개인 수집품이 되었다.
5060031,[5060031] 부러진 검은색 화살. 화살촉은 이미 녹슬었지만 발산하는 날카로움만은 여전했다. 부러진 화살대에는 ‘Gaul’이라는 글자가 희미하게 보인다... 검투사? 무엇을 상징하는 걸까?
5060032,[5060032] 출처: 암전
5060051,[5060051] 이런 농담이 있다: 수학 빌딩 하늘에 두 ‘구름’이 떠 있는데 그중 하나는 π의 길이이고. 다른 하나는 이 테이프 9의 수량이다.
5060052,[5060052] 출처: 궤멸적인 공격
5060061,[5060061] 전쟁 박물관에 보관된 골리앗 잔해. 자세히 보니 그을린 표면 아래에 붉은 금속이 드러나 있다. 옆에 안내판이 있지만 보는 이들을 오싹하게 만든다.
5060062,[5060062] 출처: 킬러 킹
5060071,[5060071] 고풍스러운 부채. 예전에 유행했던 요소를 바탕을 디자인하여 질리지 않는다. 옆이 날카롭기 때문에 부채 용도 외에도 적에 맞서는 무기로 여겨졌다.
5060081,[5060081] 트렌디한 브랜드가 발매한 한정판 주황색 고양이 인형. 가장 존귀한 VVVIP 고객이라도 온라인 추첨을 통해서만 구매권을 얻을 수 있다.
5060082,[5060082] 출처: 일확천금
5060092,[5060092] 출처: 전우조
5060100,[5060100] 특수 전술 체스
5060101,[5060101] 종이 재질의 특수 전술 체스. 단순한 제조 기술이지만 풍부한 전략을 담고 있다. 이제는 전장을 바꿔 경쟁할 때이다.
5060102,[5060102] 출처: 고전 게이머
