key_name,zh_cn,zh_tw,en_us,ja_jp,ko_kr
131,黎格意志,黎格意志,Lige's Consciousness,リゲルの意志,리겔의 의지
132,意识苏醒后的黎格为了与伯劳素体做区分，主动变为短发。在黎格的心中，她与伯劳是完全不同的存在。,意識蘇醒後的黎格為了與伯勞素體做區分，主動變為短髮。在黎格的心中，她與伯勞是完全不同的存在。,"After regaining consciousness, Lige cut her hair short to distinguish herself from a Shrike mitotic specimen. In her mind, her existence is completely different from a Shrike.",意識がはっきりしたリゲルは、シュライク素体と見分けがつくように髪を短く切った。リゲルは自分がシュライクとは全く違う存在だと思っている。,의식을 되찾은 리겔은 슈라이크 소체와 구분되기 위해 스스로 단발로 잘랐다. 리겔은 그녀가 슈라이크와는 완전히 다른 존재라고 생각한다.
133,初始获得,初始獲得,Starting Outfit,初期で入手,시작 시 획득
150,黎格,黎格,Lige,リゲル,리겔
151,伯劳拟态,伯勞擬態,Shrike Mimic,シュライクの擬態,슈라이크 의태
152,伯劳作为一种未知生物细胞，它可以拟态出任何事物，包括身上的衣服。它的型与貌皆是虚构，美少女的外表下，藏着令人难以接受的真实模样。,伯勞作為一種未知生物細胞，它可以擬態出任何事物，包括身上的衣服。它的型與貌皆是虛構，美少女的外表下，藏著令人難以接受的真實模樣。,"Being an unknown biological cell, the Shrike can imitate anything, including the clothes on its body. Its form and appearance are an illusion. Beneath the guise of a beautiful girl lies a reality that is difficult to accept.",未知の生物の細胞であるシュライクは、着ている服など、あらゆる物に姿を変える。その姿や形は全て作り物であり、美少女の外見の裏に驚くような本性が潜んでいる。,"슈라이크는 미지의 생물 세포로, 입은 옷을 포함한 어떠한 것으로도 의태할 수 있다. 그의 모양과 외모는 거짓이고 미소녀 겉모습의 이면에는 받아들이기 힘든는 실제 모습이 숨겨져 있다."
153,随剧情推进获得,隨劇情推進獲得,Obtained by Plot Progression,ストーリーの進行に応じて入手,스토리 진행에 따라 획득한다
160,黎格,黎格,Lige,リゲル,리겔
161,旧日实验服,舊日實驗服,Old Lab Coat,昔の実験服,낡은 실험복
162,“三女神”计划试验体初代实验服，样式颇为老旧，却也兼顾了罗联的特色。曾经这版衣服的设计被采用过，因此成衣完好的保留了下来。,“三女神”計畫試驗體初代實驗服，樣式頗為老舊，卻也兼顧了羅聯的特色。曾經這版衣服的設計被採用過，因此成衣完好的保留了下來。,"A first generation lab coat of the GAVIRUL Project. It has a rather old-fashioned style but incorporates distinctive features of the URNC. The design for this outfit was used previously, explaining why the ready-to-wear versions have been well-preserved.",「三女神」計画の被験体が着た初代の実験服。かなり古いデザインだが、ロ連らしさがうかがえる。このデザインが過去に採用されていたことから、既製品が残っている。,"‘삼여신’ 계획 실험체의 초대 실험복, 꽤나 촌스럽지만 루련의 특색을 담았다. 이런 옷 디자인이 채택된 적이 있어 기성복은 온전하게 남아 있다."
163,2092R获得,2092R獲得,Obtained in 2092R,2092R入手,2092R획득
170,杰文,傑文,Jevon,ジェヴァン,제본
171,塔萨作战服,塔薩作戰服,TASA Combat Uniform,TASAコンバットスーツ,TASA작전복
172,塔萨小队男性冬季作战服，杰文作为队长，还拥有自己专属的披风，整体看上去非常帅气。杰文非常喜欢这套衣服，哪怕睡觉也要穿着它。,塔薩小隊男性冬季作戰服，傑文作為隊長，還擁有自己專屬的披風，整體看上去非常帥氣。傑文非常喜歡這套衣服，哪怕睡覺也要穿著它。,"TASA Squad's male winter combat uniform. As the captain of TASA, Jevon has his own exclusive cloak, lending the overall appearance a very handsome look. Jevon is so fond of this outfit that he even sleeps in it.",TASA小隊が着用する男性用冬季コンバットスーツ。ジェヴァンは隊長として、自分専用のマントを持っており、とてもハンサムに見える。ジェヴァンはこの服をとても気に入っており、寝る時でさえも来ている。,TASA 소대 남성의 겨울 작전복. 제본은 대장으로서 자신의 전용 망토가 있어 전체적으로 멋있어 보인다. 제본은 이 옷을 굉장히 좋아해 잘 때도 입고 잔다.
173,初始获得,初始獲得,Starting Outfit,初期獲得,시작 시 획득
210,杰文,傑文,Jevon,ジェヴァン,제본
211,紧身作战衣,緊身作戰衣,Combat Bodysuit,フィットタイプの戦闘服,딱 붙는 작전복
212,面临危机时，杰文会摘下披风，只穿着内层的塔萨专属紧身作战衣进行战斗。采用柔软又有韧性的特殊纤维物质制作的战衣，能够更好地贴合身材，灵活作战。,面臨危機時，傑文會摘下披風，只穿著內層的塔薩專屬緊身作戰衣進行戰鬥。採用柔軟又有韌性的特殊纖維物質製作的戰衣，能夠更好地貼合身材，靈活作戰。,"In times of danger, Jevon will take off his cloak and fight wearing only the inner layer of the TASA exclusive combat bodysuit. The combat bodysuit is made from a special fiber material that is both soft and resilient, allowing it to better conform to the body for agile combat.",危機に瀕すると、ジェヴァンはマントを脱ぎ、中に着たTASA専用のフィットタイプの戦闘服だけで戦う。しなやかで丈夫な特殊繊維物質で作られた戦闘服は、身体にフィットし、機敏な戦いが可能となる。,위기가 닥치면 제본은 망토를 벗어 던지고 TASA의 전용 딱 붙는 작전복만 입고 전투한다. 유연하면서도 질긴 특수 섬유 소재로 제작된 전투복은 몸에 잘 맞고 편안하게 전투를 할 수 있다.
213,随剧情推进获得,隨劇情推進獲得,Obtained by Plot Progression,ストーリーの進行に応じて入手,스토리 진행에 따라 획득한다
180,杰文,傑文,Jevon,ジェヴァン,제본
181,作战大衣,作戰大衣,Combat Coat,コンバットコート,작전 코트
182,南联野外作战用防风大衣，整体灰白色调非常适合雪地隐蔽，大衣的设计有种莫名的古早风格。,南聯野外作戰用防風大衣，整體灰白色調非常適合雪地隱蔽，大衣的設計有種莫名的古早風格。,"AU's field combat windproof coat, featuring an overall gray-white scheme well-suited for concealing in snowy terrain, has a design that exudes an inexplicable vintage style.",南連の野外戦闘用防風コート。全体がペールグレーであるため、雪原で身を隠すのにとても適している。デザインはどこか懐かしい。,"남련 야외 작전용 방풍 코트, 그레이 화이트 톤은 눈 덮인 곳에 잘 어울리며, 코트 디자인은 알 수 없는 옛날 스타일이다."
183,2092R获得,2092R獲得,Obtained in 2092R,2092R入手,2092R획득
190,洁芙缇,潔芙緹,Jefuty,ジェフティ,제퓨티
191,晚宴礼裙,晚宴禮裙,Evening Gown,パーティードレス,디너 드레스
192,爱丽诺为洁芙缇精心挑选的晚宴礼服，在她眼中，蓝与紫是最契合洁芙缇气质的颜色，轻盈的薄纱裙摆，以及绸缎拖尾都为洁芙缇增添了些许柔和与可爱。原本洁芙缇还有些不敢尝试，但穿上后意外地合适。,愛麗諾為潔芙緹精心挑選的晚宴禮服，在她眼中，藍與紫是最契合潔芙緹氣質的顏色，輕盈的薄紗裙擺，以及綢緞拖尾都為潔芙緹增添了些許柔和與可愛。原本潔芙緹還有些不敢嘗試，但穿上後意外地合適。,"An evening gown Eleanor carefully selected for Jefuty. In her eyes, blue and purple are the colors that best compliment Jefuty's temperament. The light and airy chiffon skirt, along with the satin train, added a touch of softness and loveliness to Jefuty. Initially, Jefuty was a bit hesitant to try it on, but surprisingly, it turned out to be a perfect fit.",紺色と紫色がよく似合うジェフティのために、エリノアが選びぬいたパーティードレス。ふわりと揺れる薄絹の裾、シルクのフィッシュテールによって、ジェフティのやさしさと可愛らしさが際立つ。最初は着るのをためらっていたジェフティだが、着ると意外に似合う。,"엘리노어가 제퓨티를 위해 성심성의껏 고른 디너 드레스, 그녀의 눈에는 푸른색과 보라색이 제퓨티의 분위기를 가장 잘 살려주는 색상이다. 가벼운 거즈 스커트 자락과 실크 테일링이 제퓨티의 부드러움과 귀여움을 더해준다. 원래 제퓨티는 감히 시도해 볼 생각을 못 했지만, 입어보니 예상 외로 잘 어울린다."
193,通过DLC解锁,通過DLC解鎖,Unlocked by DLC,DLCでアンロック,DLC통해 잠금해제
200,蒙德,蒙德,Mendo,モンド,멘도
201,晚宴西服,晚宴西服,Evening Suit,タキシード,디너 슈트
202,一套做工精致、版型考究的晚宴礼服，这是蒙德为了这次表彰晚宴特别准备的。蒙德第一次穿得如此庄重，既是为了告别过去的自己，也是为了和洁芙缇一同迎接未来的新生活。,一套做工精緻、版型考究的晚宴禮服，這是蒙德為了這次表彰晚宴特別準備的。蒙德第一次穿得如此莊重，既是為了告別過去的自己，也是為了和潔芙緹一同迎接未來的新生活。,"An exquisitely crafted and meticulously designed evening suit Mendo prepared specially for the commendation banquet. It's the first time Mendo dressed so solemnly, both to bid farewell to his past self and to welcome a new life together with Jefuty in the future.",シルエットにこだわり、精巧に仕立てられたフォーマルウェア。モンドが今回の表彰パーティーのために準備したもの。モンドが初めてこのようなフォーマルな格好をしたのは、自分を変え、ジェフティとの新生活を始めるためだった。,"세련되고 잘 짜여진 디너 파티 셋업은 멘도가 이번 표창 디너 파티를 위해 특별히 준비한 것이다. 멘도가 이렇게 잘 차려입은 건 예전의 자신과 작별하기 위함도 있고, 또 하나는 제퓨티와 앞으로 펼쳐질 새로운 삶을 맞이하기 위함이다."
203,通过DLC解锁,通過DLC解鎖,Unlocked by DLC,DLCでアンロック,DLC통해 잠금해제
220,杰文,傑文,Jevon,ジェヴァン,제본
221,晚宴西服,晚宴西服,Evening Jacket,タキシード,디너 슈트
222,一向注重自己外貌与气质的杰文，对于正装的要求十分苛刻。这一套是杰文亲自挑选布料并参与设计的款式，因此在他的西装收藏中地位非常高。,一向注重自己外貌與氣質的傑文，對於正裝的要求十分苛刻。這一套是傑文親自挑選布料並參與設計的款式，因此在他的西裝收藏中地位非常高。,"Jevon, who has always paid attention to his appearance and aura, has very strict requirements for formal attire. He personally selected the fabric and participated in the design of this suit, that's why it has a very high status in his suit collection.",常に見た目に気を払うジェヴァンはスーツにも独自のこだわりがある。このタキシードはジェヴァン自身が生地選びとデザインに関わった逸品で、彼のコレクションの中でもひと際価値が高い。,외모와 기품을 중요시하는 제본은 양복에 많은 신경을 쓴다. 이건 제본이 직접 고른 천으로 디자인에도 참여한 세트이다. 때문에 그의 양복 컬렉션에서 꽤 높은 소장 가치를 지닌다.
223,通过DLC解锁,通過DLC解鎖,Unlocked by DLC,DLCでアンロック,DLC통해 잠금해제
230,黎格,黎格,Lige,リゲル,리겔
231,镜像本体,鏡像本體,Mirror Self,同位体,미러링 본체
232,一件由伯劳细胞拟态而成的华丽衣裙，保留了伯劳邪恶与张狂的特征。,一件由伯勞細胞擬態而成的華麗衣裙，保留了伯勞邪惡與張狂的特徵。,A lovely dress made from Shrike cells mimicking fabric. It is as wicked and wanton as a Shrike itself.,シュライク細胞の擬態能力で形成された華美なドレス。シュライクの孕む狂気を感じさせる仕上がりだ。,"슈라이크 세포 의태로 만들어진 화려한 치마, 슈라이크의 사악하고 광적인 특징이 그대로 남아있다."
233,通过DLC解锁,通過DLC解鎖,Unlocked by DLC,DLCでアンロック,DLC통해 잠금해제
240,卡尔,卡爾,Carl,カール,칼
241,晚宴西服,晚宴西服,Dinner Suit,タキシード,디너 슈트
242,即便是不注重穿着的米德战士，也会有一套珍藏的西装。卡尔才不会告诉别人，这是他为了表彰晚宴花费了两个月的工资特意定制的高级西装。,即便是不注重穿著的米德戰士，也會有一套珍藏的西裝。卡爾才不會告訴別人，這是他為了表彰晚宴花費了兩個月的工資特意定制的高級西裝。,"Even a MID Agent who doesn't pay attention to fashion will have a treasured suit. Carl would never tell others that this was a high-end custom-made suit that cost two months of his salary, ordered in preparation for the recognition dinner.",身なりに無頓着な兵士でも、とっておきの正装は持っているものだ。表彰式用の特注タキシードに2か月分の給料を使ったことは内緒だ。,착장을 중요하게 생각하지 않는 MID 전사이지만 소중하게 여기는 양복은 하나쯤 있다. 칼은 다른 사람에게 알려주지 않을 것이다. 이건 시상 만찬을 위해 두달의 봉급으로 맞춘 고급 양복이다.
243,通过DLC解锁,通過DLC解鎖,Unlocked by DLC,DLCでアンロック,DLC통해 잠금해제
250,阿特娜,阿特娜,Atena,アテナ,아테나
251,制式大衣,制式大衣,Standard Coat,制式コート,표준 코트
252,一款曾经流行于南极的塔萨制服大衣，柔软的毛边是妹妹爱丽诺最喜欢的设计，阿特娜反而觉得整体设计不够利落，不适合自己的风格，因此很少穿着。,一款曾經流行於南極的塔薩制服大衣，柔軟的毛邊是妹妹愛麗諾最喜歡的設計，阿特娜反而覺得整體設計不夠俐落，不適合自己的風格，因此很少穿著。,"TASA uniform coat that was once popular in Antarctica. The soft lining was her sister Eleanor's favorite design. However, Atena felt that the overall design was not neat enough and did not suit her own style so she rarely wore it.",一時南極で流行った、TASAの制式コート。エリノアの手によって本来ないファーが追加されているが、アテナは自分には可愛すぎると思い、あまり着ることはない。,"예전에 유행한 남극의 TASA 제복 코트, 부드러운 털은 동생 엘리노어가 가장 좋아한 디자인이다. 아테나는 오히려 디자인이 깔끔하지 못하고 자신의 스타일과 맞지 않는다고 생각해 많이 입지는 않는다."
253,通过DLC解锁,通過DLC解鎖,Unlocked by DLC,DLCでアンロック,DLC통해 잠금해제
260,洁芙缇,潔芙緹,Jefuty,ジェフティ,제퓨티
261,绯红礼裙,緋紅禮裙,Crimson Dress,緋色のドレス,붉은 드레스
262,血染的颜色刺目而妖冶。礼裙的样式来自于一位故人，礼裙的颜色来自于另外一位故人。穿上这件裙子，既是缅怀过去，亦是提醒自己未来前进的方向。,血染的顏色刺目而妖冶。禮裙的樣式來自於一位故人，禮裙的顏色來自於另外一位故人。穿上這件裙子，既是緬懷過去，亦是提醒自己未來前進的方向。,"The blood red color is both dazzling and bewitching. This dress's style comes from an old friend, and its color from another old friend. Wearing this dress is both a reminder of the past as well as the way toward a new future.",鮮血のように色鮮やかなドレス。デザインはとある故人から、色は別の故人から着想を得ている。このドレスは思い出と、未来への歩みの象徴なのだ。,"붉은 색상이 눈에 띄고 제법 요란하다. 드레스의 모양은 한 적에서 따왔고, 색상도 또 다른 적에게서 따왔다. 이 치마를 입는 건 과거에 대한 그리움이자 미래 방향을 일깨워주는 것이기도 하다."
263,通过DLC解锁,通過DLC解鎖,Unlocked by DLC,DLCでアンロック,DLC통해 잠금해제
